video_id,start_time_s,end_time_s,duration_s,category,classification_method,ocr_mode,temporal_interpolation,manual_review
V001,0.0,2.94,2.94,Screen Recorder,strong_screen_recorder_page,psm6,False,False
V001,2.94,3.93,0.99,Quinan,historical_base,psm6,False,False
V001,3.93,4.91,0.98,Quinan,historical_base,psm6,False,False
V001,4.91,8.83,3.92,Quinan,historical_base,psm6,False,False
V001,8.83,9.82,0.99,Quinan,historical_base,psm6,False,False
V001,9.82,10.8,0.98,Quinan,historical_base,psm6,False,False
V001,10.8,11.78,0.98,Quinan,historical_base,psm6,False,False
V001,11.78,12.76,0.98,Quinan,historical_base,psm6,False,False
V001,12.76,13.74,0.98,Quinan,historical_base,psm6,False,False
V001,13.74,14.72,0.98,Quinan,historical_base,psm6,False,False
V001,14.72,24.54,9.82,Quinan,historical_base,psm6,False,False
V001,24.54,27.49,2.95,Quinan,historical_base,psm6,False,False
V001,27.49,30.43,2.94,Quinan,historical_base,psm6,False,False
V001,30.43,38.28,7.85,Quinan,historical_base,psm6,False,False
V001,38.28,39.26,0.98,Quinan,historical_base,psm6,False,False
V001,39.26,40.25,0.99,Quinan,historical_base,psm6,False,False
V001,40.25,41.23,0.98,Quinan,historical_base,psm6,False,False
V001,41.23,42.21,0.98,Quinan,historical_base,psm6,False,False
V001,42.21,43.19,0.98,Quinan,historical_base,psm6,False,False
V001,43.19,44.17,0.98,Quinan,historical_base,psm6,False,False
V001,44.17,53.01,8.84,Quinan,historical_base,psm6,False,False
V001,53.01,55.95,2.94,Quinan,historical_base,psm6,False,False
V001,55.95,56.93,0.98,Quinan,historical_base,psm6,False,False
V001,56.93,58.9,1.97,Quinan,historical_base,psm6,False,False
V001,58.9,59.88,0.98,Quinan,historical_base,psm6,False,False
V001,59.88,82.46,22.58,Quinan,historical_base,psm6,False,False
V001,82.46,88.35,5.89,Quinan,historical_base,psm6,False,False
V001,88.35,90.31,1.96,Quinan,historical_base,psm6,False,False
