video_id,episode_id,start_time_s,end_time_s,n_segments,category
V002,1,1440.06,1644.68,3,Screen Recorder
V005,1,18.0,88.99,10,Quinan
V005,2,757.95,760.95,1,Google
V005,3,1340.9,1344.9,1,Google
V005,4,1614.88,1616.88,1,Google
V006,1,0.0,280.0,1,Quinan
V006,2,767.0,924.0,2,Quinan
V006,3,1266.0,1308.0,7,Otro sitio
V006,4,1315.0,1338.0,4,Google (Mat)
V007,1,879.95,880.94,1,Google
V007,2,1179.25,1181.24,2,Google
V007,3,1239.11,1395.33,1,Otro sitio
V008,1,737.81,739.86,1,Google
V008,2,749.07,750.09,1,Google
V008,3,880.05,882.1,1,Google
V008,4,891.31,892.33,1,Google
V008,5,1479.72,1485.86,1,Juegos
V008,6,1994.44,1999.56,2,Juegos
V008,7,2078.36,2079.38,1,Juegos
V009,1,7.91,13.84,1,Quinan
V009,2,765.41,1074.94,1,Quinan
V014,1,0.0,14.08,8,Quinan
V015,1,0.0,3.6,1,Quinan
V016,1,0.0,33.4,4,Quinan
V017,1,0.0,8.18,5,Quinan
V018,1,0.0,7.08,2,Quinan
V018,2,217.42,254.84,3,Otro sitio
V018,3,287.2,326.63,27,Quinan
V018,4,366.07,370.84,1,Otro sitio
V019,1,0.0,34.23,4,Quinan
V020,1,919.65,972.05,1,Quinan
V020,2,1703.66,1800.25,2,Quinan
V020,3,1804.36,1843.41,1,Quinan
V020,4,1897.87,1950.27,1,Quinan
V021,1,152.23,160.03,2,Juegos
V021,2,351.29,470.34,5,Juegos
V021,3,639.16,699.66,16,Quinan
V021,4,736.74,795.29,19,Juegos
V021,5,838.23,875.31,7,Quinan
V021,6,1347.61,1358.34,4,Google
V021,7,1700.85,1710.61,4,Google
V021,8,1714.51,1725.25,6,Google
V021,9,2280.49,2318.54,2,Quinan
V021,10,2888.42,2896.23,1,Google
V021,11,3168.48,3169.46,1,Wikipedia
V021,12,3178.24,3213.37,15,Google
V021,13,3499.28,3501.24,2,Google
V022,1,1130.4,1139.56,1,Quinan
V022,2,1358.51,1379.9,1,Quinan
V022,3,1464.42,1470.53,1,Quinan
V022,4,1474.61,1483.77,1,Quinan
V024,1,918.34,963.86,1,Quinan
V024,2,1034.12,1199.38,1,Quinan
V024,3,1326.05,1640.74,1,Quinan
V024,4,2200.85,2253.29,1,Quinan
V024,5,2530.38,2571.94,1,Quinan
V025,1,100.49,136.59,1,Quinan
V025,2,320.01,464.4,1,Quinan
V025,3,475.13,527.81,1,Quinan
V026,1,25.09,40.15,2,Quinan
V027,1,1580.91,1945.89,1,Quinan
V027,2,2393.82,2428.95,1,Quinan
V028,1,1532.97,1541.02,3,Screen Recorder
V028,2,1601.37,1609.42,3,Screen Recorder
V028,3,1633.56,1644.63,5,Screen Recorder
V028,4,2650.51,3344.4,3,Screen Recorder
V029,1,878.33,919.35,1,Quinan
V029,2,1100.42,1135.43,1,Quinan
V033,1,1965.04,2119.53,1,Otro sitio
V033,2,2164.84,2317.27,1,Otro sitio
V033,3,2325.5,2853.84,1,Otro sitio
V033,4,2877.53,3070.12,1,Otro sitio
V034,1,1729.27,1797.8,1,Otro sitio
V034,2,1877.6,2028.75,1,Otro sitio
V034,3,2075.69,2263.45,1,Otro sitio
V034,4,2275.65,2584.51,1,Otro sitio
V034,5,2592.03,2802.32,1,Otro sitio
V034,6,2845.5,3022.0,1,Otro sitio
V035,1,82.69,137.82,1,Quinan
V035,2,249.1,288.91,1,Quinan
V035,3,301.16,508.4,1,Quinan
V035,4,2336.82,2513.44,1,Otro sitio
V035,5,2525.69,3361.8,1,Otro sitio
V036,1,1814.3,2033.08,31,Quinan
V036,2,2039.0,3073.61,65,Quinan
V037,1,132.21,136.19,1,Juegos
V037,2,142.15,145.14,1,Juegos
V037,3,151.1,278.34,11,Juegos
V037,4,303.19,309.16,2,Juegos
V037,5,313.13,330.03,4,Juegos
V037,6,348.92,462.25,98,Juegos
V037,7,1142.19,1179.97,11,Juegos
V037,8,1305.22,1533.86,212,Juegos
V037,9,3415.65,3423.6,1,Google
V037,10,3450.44,3492.19,2,Google
V037,11,3653.23,3661.19,1,Google
V038,1,2536.8,3728.26,1,Otro sitio
V039,1,2143.49,2217.3,1,Otro sitio
V039,2,2244.75,2680.07,2,Otro sitio
V040,1,2262.1,2383.65,1,Otro sitio
V040,2,2408.37,4536.43,1,Otro sitio
V041,1,3137.75,3148.94,2,Otro sitio
V041,2,3349.31,3360.5,2,Otro sitio
V041,3,3540.52,3552.73,3,Otro sitio
V041,4,3720.55,3731.74,2,Otro sitio
V042,1,816.0,887.0,1,Otro sitio
V043,1,3099.23,3113.68,3,Google
V043,2,3132.27,3154.98,3,Google
V043,3,3263.38,3277.83,3,Google
V043,4,3296.42,3382.1,7,Google
V043,5,3426.5,3440.95,3,Google
V043,6,3459.53,3505.99,5,Google
V043,7,3524.57,3558.64,4,Google
V043,8,5361.19,5390.1,2,Otro sitio
V044,1,2026.5,2123.63,3,Quinan
V044,2,2441.62,2511.14,1,Quinan
V046,1,3066.85,3073.67,1,Otro sitio
V046,2,3220.78,3341.58,3,Otro sitio
V046,3,3388.34,3401.98,1,Otro sitio
V046,4,3556.88,3557.86,1,Otro sitio
V046,5,3586.11,3647.49,4,Otro sitio
V046,6,3661.12,3685.48,8,Otro sitio
V046,7,5177.99,5191.63,2,Otro sitio
V047,1,1702.47,1745.86,2,Quinan
V047,2,3288.88,3342.37,1,Otro sitio
V047,3,3500.81,3598.7,1,Otro sitio
V047,4,3717.78,3815.67,1,Otro sitio
V047,5,3927.69,4025.58,1,Otro sitio
V047,6,4091.17,4104.29,1,Otro sitio
V047,7,4137.6,4211.27,1,Otro sitio
V047,8,4395.94,4432.27,5,Google (Mat)
V047,9,5051.9,5052.91,1,Otro sitio
V047,10,5238.6,5239.61,1,Otro sitio
V048,1,3536.59,3605.35,1,Quinan
V048,2,3749.3,3814.83,1,Quinan
V048,3,3930.86,4107.04,1,Quinan
V048,4,4139.27,4419.67,2,Quinan
V048,5,4623.78,4624.86,1,Otro sitio
V048,6,4828.97,4830.05,1,Otro sitio
V049,1,4752.39,4798.28,3,Google
V049,2,5385.89,5419.47,2,Otro sitio
V049,3,5552.66,5585.12,1,Otro sitio
V050,1,387.08,444.03,2,Quinan
V051,1,171.48,293.97,3,Quinan
V051,2,356.69,490.93,5,Quinan
V051,3,532.09,585.98,12,Quinan
V051,4,670.26,707.49,6,Quinan
V051,5,742.77,745.71,1,Quinan
V051,6,903.47,968.15,28,Quinan
V051,7,994.61,996.57,1,Quinan
V051,8,1088.68,1293.48,35,Quinan
V051,9,1306.22,1363.05,8,Quinan
V051,10,1429.69,1466.92,8,Quinan
V051,11,1480.64,1580.59,9,Quinan
V051,12,1614.89,1726.6,26,Quinan
V051,13,1740.32,1775.59,6,Quinan
V052,1,1240.16,1319.83,3,Quinan
V052,2,1333.26,2098.67,3,Quinan
V053,1,0.0,10.2,1,Quinan
V053,2,911.57,3129.3,2,Quinan
V054,1,172.96,176.13,2,Google (Mat)
V054,2,179.29,204.6,2,Otro sitio
V054,3,508.34,562.13,4,Otro sitio
V054,4,596.93,653.89,1,Quinan
