segment_id,video_id,start_time_s,end_time_s,duration_s,palabra_base,ocr_mode,matched_math_terms,evidence_wikipedia,evidence_youtube,evidence_juegos,evidence_geogebra,evidence_quinan,evidence_screen_recorder
V001-S00001,V001,0.0,2.94,2.94,otro sitio,psm6,,0,0,0,0,0,1
V001-S00002,V001,2.94,3.93,0.99,quinan,psm6,funcion; funcion cuadratica; cuadratica; ecuacion; ecuaciones; sistemas de ecuaciones,0,0,0,0,1,0
V001-S00003,V001,3.93,4.91,0.98,quinan,psm6,funcion; funcion lineal; lineal; afin; ecuacion; ecuaciones; sistemas de ecuaciones; area,0,0,0,0,1,1
V001-S00004,V001,4.91,8.83,3.92,quinan,psm6,funcion; funcion lineal; funcion cuadratica; lineal; afin; cuadratica; ecuacion; ecuaciones; sistemas de ecuaciones,0,0,0,0,1,1
V001-S00005,V001,8.83,9.82,0.99,quinan,psm6,funcion; funcion lineal; funcion cuadratica; lineal; afin; cuadratica; ecuacion; ecuaciones; sistemas de ecuaciones; area,0,0,0,0,1,1
V001-S00006,V001,9.82,10.8,0.98,quinan,psm6,funcion; funcion lineal; funcion cuadratica; lineal; afin; cuadratica; ecuacion; ecuaciones; sistemas de ecuaciones,0,0,0,0,1,1
V001-S00007,V001,10.8,11.78,0.98,quinan,psm6,funcion; funcion cuadratica; afin; cuadratica; ecuacion; ecuaciones; sistemas de ecuaciones; area,0,0,0,0,1,1
V001-S00008,V001,11.78,12.76,0.98,quinan,psm6,funcion; funcion lineal; funcion cuadratica; lineal; afin; cuadratica; area,0,0,0,0,1,1
V001-S00009,V001,12.76,13.74,0.98,quinan,psm6,funcion; funcion lineal; funcion cuadratica; lineal; afin; cuadratica; ecuacion; ecuaciones; sistemas de ecuaciones; area,0,0,0,0,1,1
V001-S00010,V001,13.74,14.72,0.98,quinan,psm6,funcion; funcion lineal; funcion cuadratica; lineal; afin; cuadratica; ecuacion; ecuaciones; sistemas de ecuaciones,0,0,0,0,1,0
V001-S00011,V001,14.72,24.54,9.82,quinan,psm6,funcion; funcion lineal; funcion cuadratica; lineal; afin; cuadratica; ecuacion; ecuaciones; sistemas de ecuaciones,0,0,0,0,1,1
V001-S00012,V001,24.54,27.49,2.95,quinan,psm6,,0,0,0,0,1,0
V001-S00013,V001,27.49,30.43,2.94,quinan,psm6,area,0,0,0,0,1,0
